Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"U60"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"205.399mm"	"118.25mm"	"205.399mm"	"118.25mm"	"206.049mm"	"117.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C63"	"33pF"	"C0402"	"101.744mm"	"93.383mm"	"101.744mm"	"93.383mm"	"101.199mm"	"93.383mm"	"2"	"T"	"0"	"Yes"	"33pF"	
"C64"	"33pF"	"C0402"	"104.845mm"	"93.391mm"	"104.845mm"	"93.391mm"	"105.39mm"	"93.391mm"	"2"	"T"	"180"	"Yes"	"33pF"	
"C65"	"1uF"	"C0402"	"109.45mm"	"107.687mm"	"109.45mm"	"107.687mm"	"108.904mm"	"107.687mm"	"2"	"T"	"0"	"Yes"	"1uF"	
"C66"	"1uF"	"C0402"	"109.45mm"	"106.544mm"	"109.45mm"	"106.544mm"	"108.904mm"	"106.544mm"	"2"	"T"	"0"	"Yes"	"1uF"	
"C67"	"100nF"	"C0402_NEW"	"97.4mm"	"109.7mm"	"97.4mm"	"109.7mm"	"97.945mm"	"109.7mm"	"2"	"T"	"180"	"Yes"	"100nF"	
"C68"	"100nF"	"C0402_NEW"	"103.6mm"	"109.2mm"	"103.6mm"	"109.2mm"	"103.055mm"	"109.2mm"	"2"	"T"	"0"	"Yes"	"100nF"	
"C69"	"100nF"	"C0402_NEW"	"106.782mm"	"95.612mm"	"106.782mm"	"95.612mm"	"106.782mm"	"95.067mm"	"2"	"T"	"90"	"Yes"	"100nF"	
"C70"	"100nF"	"C0402_NEW"	"104.5mm"	"110.3mm"	"104.5mm"	"110.3mm"	"103.955mm"	"110.3mm"	"2"	"T"	"0"	"Yes"	"100nF"	
"C71"	"100nF"	"C0402_NEW"	"99.7mm"	"105.6mm"	"99.7mm"	"105.6mm"	"99.155mm"	"105.6mm"	"2"	"T"	"0"	"Yes"	"100nF"	
"C72"	"100nF"	"C0402_NEW"	"111.958mm"	"101.2mm"	"111.958mm"	"101.2mm"	"112.503mm"	"101.2mm"	"2"	"T"	"180"	"Yes"	"100nF"	
"C73"	"100nF"	"C0402_NEW"	"98.6mm"	"100.6mm"	"98.6mm"	"100.6mm"	"98.055mm"	"100.6mm"	"2"	"T"	"0"	"Yes"	"100nF"	
